Scoop up water	㧾水
Beat him up!	喐佢！
The old woman who collects garbage	垃圾婆
Pok Wai Village in northern N.T.	壆圍村
Large oxy-acetylene cutting torch	大拮燈
It's getting dark	天黑嘍
Good!	好吖！
A trivial sum of money	婆乸數
Pet shop	寵物店
Toilet seat lid	屎塔蓋
Mountain pass	山卡罅
It's quite big	幾大吓
Over twenty dollars	廿幾皮
Well over two hundred thousand bucks	廿幾皮
It turns out to be nothing	得個吉
It's me	我係啊
I follow you	我跟你
He deserves the bad luck	抵佢衰
Excavate a place to lay water pipes	挖水圳
I can't eat anymore	掙唔落
Remove its skin	揃佢皮
Upturned nose	插蘇鼻
Pick him up	摵起佢
Set up roadside stalls from which to sell things	擺街邊
It's time to get out of class	放學咯
Liu Pok Village in northern N.T. near border with Shenzhen	料壆村
Hang up a mosquito net	晾蚊帳
Stopper for a thermos flask	暖壺𣘚
A thoroughly bad guy	正衰人
Water pipe	水喉通
French person	法國鬼
Digestive medicine	消滯藥
Shum Shui Po	深水埗
Repulse Bay on HK. Island	淺水灣
Fresh shrimp that's still alive	游水蝦
The soup is boiling	湯滾喇
The Chaozhou woman	潮洲婆
Fried rice vermicelli	炒米粉
Boil the sweet potato	烚番薯
Boil the corn	烚粟米
Cook pig swill by boiling it	烚豬潲
Wong the cigarette smoker	煙屎王
Regular customer	熟客仔
Roast suckling pig	燒乳豬
Barbecue pit	燒烤爐
Ox-tail soup	牛尾湯
Boy Scout	男童軍
Seeds of tomato	番茄仁
Spool of white thread	白線轆
Outer leaves of Chinese chard	白菜莢
All-round rice which goes well with any kind of food	百搭米
Taxi-driver	的士佬
There's really no way out	真冇修
Modaomen	磨刀門
Poplin shirt	竹紗衫
Close up the umbrella	笠把遮
Shau Kei Wan district on HK. Island	筲箕灣
Cooked and softened taro	粉芋頭
Spool of red thread	紅線轆
Tie up the luggage	綁行李
Tie one's shoestrings	綁鞋帶
It's sewed with several stitches	聯幾針
Pepper	胡椒粉
Briton	英國佬
English-language book	英語簿
Lychee seeds	荔枝核
Seasonal peak in lychee production	荔枝造
young Portuguese woman	葡國妹
Steamed custard	蒸水蛋
Raise it to a higher position	薦高啲
Repay someone from gratitude for his favor	補番數
Set a trap to catch wild boar	裝山豬
Move back a few steps	褪幾步
Watermelon seeds	西瓜核
Please sit down	請坐低
Lean pork cut from btwn. the shoulders of a pig	豬脢肉
Buy genuine goods	買正貨
Deboned meat	起骨肉
Software for computer games	遊戲碟
Rosewood chair	酸枝椅
Salted pork	醃豬肉
Bitter cucumber stuffed with meat	釀苦瓜
Stuffed beancurd	釀豆腐
Cut it open	鈒開佢
Pencil stub	鉛筆頭
Laser disc	鐳射碟
Rap someone on his head with one's knuckles	鑿頭殼
Turn on the faucet	開水喉
A wide piece of cloth	闊封布
Sister Jing	阿英姐
Scenic photos	風景相
Eat a mouthful of rice	食啖飯
Drink a mouthful of water	飲啖水
Fishballs with noodles	魚蛋麵
Quarry Bay	鰂魚涌
Wong Nai Chung	黃泥涌
Turn one's body	𡂖轉身
Turn one's head	𡂖轉頭
He threw it away	𢫕咗佢
Each item costs thirty thousand bucks	一件三皮
A spoonful of sugar	一匙羹糖
A railroad car of goods	一卡貨物
A railroad car of munitions	一卡軍火
One cup of coffee and one cup of tea	一啡一茶
A curtain	一堂窗簾
A mosquito net	一堂蚊帳
An iron gate	一堂鐵閘
A pair of Ch.-style sausages	一孖臘腸
A wedding couple	一對新人
It was such a long year	一年流流
A bunch of grapes	一揪提子
A string of strips of pork	一揪豬肉
A set of keys	一揪鎖匙
One catty is sixty cents	一斤六毫
One catty and a bit more, or It's a little over one catty	一斤有先
Let's do it this way then	一於噉做
A key	一條鎖匙
A row of bullets	一梳子彈
A bottle of sesame oil	一樽麻油
A block of beancurd	一磚豆腐
An ox turd	一篤牛屎
A set of clothes	一脫衫褲
A long, thick piece of pork	一臠豬肉
A leaf of Chinese chard	一莢白菜
One goldfish	一蔸金魚
Three dollars	三個銀錢
Three segments of pomelo	三楷碌柚
Three old-style tenement buildings	三間唐樓
The appeal is allowed	上訴得直
Barbecuing is not permitted	不准燒烤
Indecent gestures	不文動作
Trying on clothes is not allowed	不設試身
Central Market	中環街市
Enterprise that is funded from mainland Ch.	中資企業
Institution that is funded from mainland Ch.	中資機構
Fried egg with hotbed Chinese chives	九王炒蛋
Ten minutes to six, or Five-fifty	五點沓十
Active trading	交投暢旺
Thin trading	交投疏落
Exchange Square, r.t. where the HK. Stock Exchange is located	交易廣場
There are not enough people	人唔夠多
Everyone can feel the call of nature	人有三急
There's still a lot more	仲有好多
Feel free to choose	任揀唔嬲
Stand up!, or Stand on your feet!	企起身！
You're a stupid prick!	你戇𨳊！
You're a stupid prick!	你笨𨳍！
What's up with you?	你點啊？
I doubt that's true!	係囉喎！
Insurance broker	保險經紀
Acquire or merge with a company that is already listed on the stock market, a.k.a. backdoor listing	借殼上市
Two eyebrows	兩堂眼眉
Fried noodles with mixed ingredients	八珍炒麵
Preserved plum with a mixture of flavors	八珍話梅
Public standpipe	公衆街喉
Female public relations officer	公關小姐
Public relations manager	公關經理
Ten minutes past six, or Six-ten	六點沓二
No one dared say anything	冇人敢聲
Add more oil	再侵啲油
It's so cold that my hands are numb	凍到手硬
The new Miss Hong Kong	出爐港姐
Just a little bit is left	剩番咁多
Complete cure of the illness is assured	包醫斷尾
Top ten hits	十大金曲
Exactly ten dollars and no more	十蚊齊頭
Half serving of fried noodles	半賣炒麵
Simultaneous interpretation	即時傳譯
It comes into operation immediately	即時生效
Let's go!	去嘍噃！
Antiques enthusiasist	古董玩家
There's no need for that much	唔使咁多
It's not necessary to pay attention to him	唔使理佢
There's no need to wait for me	唔使等我
It's not very much	唔係幾多
Don't cry!	唔好喊！
If you're not going to tell me, it doesn't matter	唔講算數
The water is very cold	啲水好瘌
The oil floats on the surface	啲油浮面
The food has a strong burned smell	啲飯好𤓓
Front wheel of a bicycle	單車前轆
Tell him to come in	嗌佢入嚟
There's nobody there	嗰便冇人
There's nobody there	嗰度冇人
There's nobody there	嗰處冇人
There's nobody there	嗰邊冇人
Hold the steelyard and keep it balanced	噔住把秤
Nuisance caused by noise	噪音滋擾
It's just no use fixing it	囋整嘅啫
It's about four catties	四斤左近
Be careful not to catch a cold	因住凍親
Take care, or Be careful!	因住吓！
Of course going by car is good	坐車好囉
Put the cap on the pen	塔好枝筆
Dealer in foreign exchange	外匯經紀
Time is up	夠時候喇
Banknote of large denomination	大張銀紙
Pet animal hospital	寵物醫院
Post-secondary education	專上教育
Specialized in old, reconditioned goods	專營夜冷
Bring all the necessary tools	帶齊架撐
How many days are there?	幾多日？
It's rather hard to tackle	幾惡攪吓
There's only one bowl of rice	得一碗飯
There is only me	得我一個
Quickly think of a solution	快啲諗計
The weight is almost one kilogram	成公斤重
It's not very likely to succeed	成數唔大
The entire room is filled with smoke	成間房煙
Expose one's arms	打出手骨
Shake the quilt	抰吓張被
Crush the ginger into paste	抳爛啲薑
It's swinging this way and that	捹嚟捹去
Something exerted pressure from inside and it's burst!	掙爆喇！
Feeder bus which connects with other modes of transport	接駁巴士
Crush peppers	揅啲胡椒
Let's kick the ball around and warm up a bit first	搓吓波先
Upper Lascar Row, a.k.a. 貓街 maau1 gaai1 'Cat St.' which is famous for its shops selling antiques	摩羅上街
Lower Lascar Row	摩羅下街
Delicious dish of food	撚手小菜
Fan the fire in the stove	撥吓個爐
Poke the fire	撩吓啲火
Open wide both of your eyes	擘大雙眼
Take a bigger stride	擸大步啲
Start living in a new home	新屋入伙
Singer who has newly achieved popularity	新扎歌手
Mongkok Hair Salon, or Mongkok Barber Shop	旺角髮廊
Mink stole	明克披肩
Congee cooked over high heat	明火白粥
There's not enough time	時候唔夠
In such a morning	晨早流流
There is the amount of vegetables grown in a garden plot	有一壢菜
There are just a few	有丁咁多
Someone knocks on the door	有人鑿門
There are still not enough people	未夠多人
Chocolate pie	朱古力批
The automobile has broken down	架車神咗
Sofa reconditioning	梳化翻新
Bottled beer	樽裝啤酒
Side roads and alleys	橫街冷巷
Street-level drug trafficker	毒品拆家
The depth of the water is over one's head	水深過頭
Seasonal peak for rice production	水稻當造
Exactly five o'clock, or Five o'clock sharp	沓正五點
Deluxe French meal	法國大餐
Corruption is suspected	涉嫌貪污
A stall specializing in perishable goods	濕貨攤位
My leg got scalded	焫親隻腳
The lamp is not bright enough	燈唔夠猛
Scold him severely	猛咁鬧人
Live seafood	生猛海鮮
Add in a little sugar	畀少少糖
It's extremely painful	痛到入肉
Scalded choy sum	白灼菜心
Woman whose pubic hair has been shaved off	白虎女人
It's certainly the case	直頭係啦
It's really wonderful	真係盞㗎
Chop it into several pieces	破開幾件
Posting bills is prohibited	禁止標貼
Plant a tree	種一蔸樹
Pierced with a hole	穿咗個窿
Red grape juice	紅提子汁
Carrot cordial	紅蘿蔔水
It's very tiny	細得交關
Vitamin A	維他命A
The stitches are close together	線步好密
Join the broken string back together	續番條繩
Maxim's cakes	美心西餅
News about a robbery	老笠新聞
It fell on the ground	舂咗落地
Eat peanuts that go with wine	花生送酒
Prawns in tomato sauce	茄汁蝦碌
Tea, condiments, and appetizers are provided at no charge	茶芥全免
U.S.A. government official	華府官員
It's raining heavily	落緊濃雨
Thin-walled vase	薄身花樽
Blue twill trousers	藍色斜褲
People with weak bodies can't bear much nourishment	虛不受補
Clam meat tastes good	蜆肉好食
Chinese steamed rice flour noodle rolls with tiny dried shrimp	蝦米腸粉
The crab's claws are very big	蟹蝄幾大
Choy sum with oyster sauce	蠔油菜心
Scalded young greens served with oyster sauce	蠔油菜薳
Walk to the very end of the lane	行到巷篤
You poor girl!	衰女包！
The top surface of the quilt is dirty	被面污糟
Move over here and sit	褪過啲坐
Parent-child relationship	親子關係
Compute the amount	計吓條數
Finish calculating the accounts	計清盤數
Please point out my faults	請多抽秤
Tell me the whole thing	講晒出嚟
We've got to leave!	走嘍噃！
Set of tickets for soccer games	足球套票
Get out here!	趷路嚟！
Shut the door right after you go out	跟手閂門
At the time of Chinese New Year	過年流流
Illegal parking	違例泊車
Liquor is not provided	酒類欠奉
Rosewood furniture	酸枝傢俬
The banks are infused with cash	銀行水浸
Copper-pipe cutter	銅喉拮打
Steel and cement	鋼骨水泥
Give her a kiss	錫佢一啖
Set the dining table and let's eat	開枱食飯
The room is very hot	間屋好㷫
The flat is already vacant	間屋已吉
Chan Kee Restaurant, or Chan's Restaurant	陳記飯店
The noise annoys me to death, or The noise is damn annoying	難聽到死
Marble tabletop	雲石枱面
Computerized typesetting	電腦植字
Computer hobbyist	電腦玩家
Green curry with shrimp	青咖喱蝦
The music is very powerful	音樂好勁
Get lost!	食嘢你！
Eat another piece of cake	食多件戟
Eat some more	食多啲𠻹
The rice cooked till it burned	飯煮燶咗
The cooked rice has already become completely cold	飯都凍晒
Eat rice together with salty vegetables as the main dish	鹹菜送飯
It's only humdrum talk!	齋講啫！
Sharpen the pencil	𠜱枝鉛筆
Circle around there	𡃈嗰邊行
Sweep away the garbage	𢳂啲垃圾
Cut it shorter	CUT短啲
Stack up the bricks in neat piles	㨆好啲磚佢
Take the lid off the pot	㨴開個煲蓋
Dry your wet shirt in the dryer	㷫乾你件衫
What a long life	一世流流長
A pair of dough sticks	一孖油炸鬼
Okay, then it's agreed	一於係噉話
A stall selling fresh beef	一檔牛肉檔
A ladleful of soup is enough for me	一殼湯夠喇
Trade a rook for two knights	一車搏雙馬
He dove into the water head first	一頭𨀤入水
Let's go, all right?	一齊去呢？
Three milk mugs	三個牛奶嘜
Thirty-eight dollars and twenty cents	三十八個二
Sit down after you get on the bus	上車就坐低
Anybody is fine!, Anybody will do!	乜人都好！
Anything is fine, or Anything will do!	乜嘢都好！
There's nothing for sale	乜都冇得賣
Shift from second gear to third gear	二波轉三波
Why don't you drop dead!	仆你個街！
Why don't you go to hell!	仆街啦你！
Today it is drizzling	今日落細雨
It rained heavily this morning	今朝勁落雨
This time it turned out bad again	今次又衰咗
We still have fifteen minutes	仲有三個字
It's still another three and a half miles	仲要三咪半
The shirt doesn't fit	件衫唔啱身
This shirt feels quite scratchy on my skin	件衫好㓤肉
This shirt is indeed quite expensive	件衫好貴㗎
This shirt fits too loosely	件衫闊過頭
Stand up!	企起上嚟！
Do you still need to say anything?, or Is there still a need for you to say anything?	你仲使講？
You still haven't gone to sleep?, or You're still awake?	你仲未瞓？
You kill him.	你做低佢。
What are you doing?	你做咩啊？
You go in first.	你入去先。
Where are you going?	你去邊啊？
Get out of here!	你同我扯！
What can you do to me?	你吹脹咩？
You're not going?	你唔去㗎？
You don't scare me!	你嚇鬼呀！
How easily cheated you are!	你好老襯！
You shut up!, or Shut your mouth!	你收嗲啦！
You shut up!	你早唞啦！
You are steadfast in your principles.	你有腰骨。
You are destined to come across a villain.	你犯小人。
Are you crazy?	你癲咗咩？
You're talking nonsense!	你發噏瘋！
What did you say?	你講咩話？
You know her?	你識佢嘛？
Follow me.	你跟我尾。
Are you happy?	你開心嘛？
He eats anything.	佢乜都食。
He hasn't arrived yet, He still hasn't arrived.	佢仲未到。
She stands at the counter, or She works as a salesperson.	佢企櫃面。
She is an entertainment news reporter.	佢係娛記。
He is the youngest son.	佢係孻仔。
He pretends to be a rich man.	佢充闊佬。
She has no criminal record.	佢冇案底。
He jumps with all his strength.	佢出力跳。
She's thirty-five years old.	佢卅五歳。
What's her name?	佢叫乜名？
They kissed each other.	佢哋互嘴。
They traffic heroin.	佢哋走粉。
He's in prison for three years.	佢坐三碌。
He's in prison for three years.	佢坐三轆。
She is a very smart girl.	佢好叻女。
You and she look great together.	佢好襯你。
Her menstrual period has started.	佢姨媽到。
He's twenty-six years old.	佢廿六歲。
He wipes the dirt from his body.	佢捽老泥。
He is the youngest one in his family.	佢排孻屘。
He pulls out the pig's hair.	佢撍豬毛。
He twists his beard with his fingers.	佢撚吓鬚。
He wrapped his hands around my neck.	佢撚我頸。
He bumped his head.	佢撞親頭。
He picks his ear with his finger.	佢撩耳仔。
He has not yet been to school, or He has not studied for it yet.	佢未讀書。
He studies very hard.	佢死咪書。
He singes the pig bristles in order to remove them.	佢燂豬毛。
He runs with all his might.	佢猛咁走。
He eats as much as he can.	佢猛咁食。
He's meeting with his client.	佢見緊客。
He said it's not okay!	佢話唔掂！
He said it correctly.	佢講得啱。
He talks constantly.	佢講生晒。
He knows the law.	佢識法律。
He fell down on the ground.	佢跌落地。
He is bound to die.	佢釘梗啦。
He smokes a cigarette.	佢食口煙。
She sews the quilt cover with long stitches.	佢𢺋被套。
She licks her lips.	佢𦧺嘴唇。
She is frying peanuts in deep oil.	佢𦻐花生。
He gorges himself so he's stuffed.	佢𩟔餐飽。
It's a lousy idea	係條屎橋㗎
I am completely tied up in paying for my flat	俾間樓綁死
The chick is really sexy	個妹釘真嗦
The orange is that big	個橙咁大個
I have some pain in my stomach due to indigestion	個胃有啲滯
A scab has formed over the wound	傷口結咗焦
Scald the shrimps in hot oil first	先爆吓啲蝦
Congee with minced beef	免治牛肉粥
Two fruit stalls	兩檔生果檔
Twenty-five minutes past eight	八點五個字
I'm going to tickle you if you don't stop saying that	再講我揤你
Take medicine with cold water that has been previously boiled	凍滾水送藥
Have we reached the destination?	到埞未啊？
Ten or so dollars	十幾個銀錢
It's finally done	卒之做完喇
Go out rowing in the park	去公園扒艇
Fried pork cutlet with rice	吉列豬扒飯
Give my regards to him for me	同我問候佢
Oh, yes!	呀，係嘞！
This person is really good	呢個人真好
This box is very heavy	呢個箱好重
I have the final say here	呢度我話事
This batch of goods is of very low quality	呢批貨好曳
This voice sounds familiar	呢把聲好熟
This guy is surnamed Wong	呢條友姓王
This road is quite steep	呢條路好斜
This incident is really troublesome	呢煲嘢夠杰
This kind of stuff is very good	呢種嘢好掂
This amount is quite large	呢筆數好大
This diamond is quite big	呢粒石好大
These days it is very hot	呢輪都幾熱
This matter is absolutely true	呢鑊嘢好堅
This material is very good quality	呢隻料好靚
This meal is paid for with public funds	呢餐開公數
It is available for sale everywhere	周街有得賣
There are people everywhere	周街都係人
It's so bright the sunlight is blinding	咁曬好巉眼
Such hot weather	咁熱嘅天氣
Don't tell lies!	咪吹水啦！
Don't criticize me!	咪單打我！
Don't knock against the pot and break it	咪撼爛個缸
Don't fuck with me!	咪攪𨶙我！
Don't listen to him brag irresponsibly	咪聽佢亂車
Valve cover gasket	哇佬蓋爭口
You don't need to be so modest	唔使咁謙嘅
I doubt these are the things we're looking for	唔係呢啲啩
You have no choice but to go	唔到你唔去
You cannot but concede it	唔到你唔服
Don't rush around so recklessly	唔好亂咁舂
Don't resort to foul play	唔好出矛招
Don't cheat people!	唔好呃人！
Don't pull the trigger of the gun!	唔好摱雞！
Watch out and don't bump into others	唔好撞到人
Don't close your eyes	唔好睸埋眼
Don't go over there!	唔好過去！
Don't shake the tree	唔好𢳆樖樹
Please move a bit backward	唔該褪後啲
The things are cheap and good-looking	啲嘢平夾靚
The Chinese New Year cake is very soft	啲年糕好削
The soup tastes fresh enough	啲湯夠鮮甜
The steps are very high	啲石級好高
The rice plants have not yet become ripe	啲禾仲未黃
This rice smells rather musty	啲米䉺䉺哋
The vegetables have bolted	啲菜起心咯
The wind makes a whistling sound	啲風𢞵𢞵聲
That boy is very naughty	嗰個仔好曳
That chap is really bad	嗰蔸友真衰
Here's your medicine	嗱，你嘅藥
That would be very bad, wouldn't it?	噉咪好弊！
How could it happen?	噉都得嘅？
Well, how can this be acceptable?	噉點得㗎？
It scared me so much that I broke out into a sweat	嚇到我滮汗
About forty catties	四十斤上下
Five minutes past four	四點一個字
We can start doing it if we have enough people	夠人就開檔
It's time to get up	夠鐘起身喇
Bottoms up, everybody!	大家飲勝！
The sky has almost become completely dark	天黑晒咁滯
You should shut your mouth	好收聲嘍噃
You must leave here now!	好走嘍喎！
Pull on the string and break it	將條繩墜斷
Get the feet washed clean	將腳洗乾淨
Be careful of the pool of urine	小心一泡尿
Then it'll be just like that	就係噉個嘍
Almost ten thousand dollars	差啲一萬蚊
Stir-fried scallops with asparagus	帶子炒蘆筍
Bring all the necessary tools	帶齊啲架生
The picture is hanging completely askew	幅畫掛歪晒
Give me a hand, please!	幫吓我啦！
Boil some water for me first	幫我煲水先
Glutinous rice cake really sticks to your teeth	年糕好黐牙
A watch with 21 diamonds	廿一石手錶
Bitter herbal tea of twenty-four varieties	廿四味涼茶
A filial daughter-in-law	廿四孝心抱
Twenty dollars is very little	廿蚊好少啫
Just so few?	得咁少喳？
Hurry and push with all your strength	快啲出力推
Let's hurry up and leave!	快啲走嘍！
Italian-style salad vinegar	意式沙律醋
Catching a cold really makes one feel uncomfortable	感冒好辛苦
The weight is almost seven kilograms	成七公斤重
His body has a strong odor from sweating	成身鹹臭味
I pricked my hand.	我㓤親手。
I'm fine!, or There's nothing the matter with me!	我冇嘢呃！
I cannot sleep.	我冇得瞓。
I don't have a book.	我冇書啊。
I'll cut open the fish.	我劏條魚。
We are not going.	我哋唔去。
I don't want it.	我唔要嘞。
I don't know him.	我唔識佢。
I know it too.	我夠知啦。
I really detest you!	我嬲死你！
I can bear hunger.	我抵得餓。
I endure hunger, or I eat something in order to keep from feeling hungry.	我抵肚餓。
I ranked last.	我排第屘。
I have quite a lot.	我有好多。
Of course I know it.	我梗知啦。
I read it till I was bored.	我睇到悶。
I cannot hear it well.	我聽唔真。
I am able to speak and read English.	我識英文。
I couldn't come up with an idea.	我都冇計。
I'll drink boiled water.	我飲滾水。
I'm taller than you.	我高過你。
Twist off the lid of the bottle	扭開個樽蓋
The knife has become somewhat dull	把刀有啲蝕
Spread out the quilt	抰開張被佢
Pull your socks up a bit	抽高啲對襪
Live music concert	拉闊音樂會
Rub your waist gently	捽吓你條腰
Save that place!	掗住個位！
Who are you looking for?	搵邊位啊？
Hold on to my shoulder	摱住我膊頭
Grab his chest	摵住佢胸口
Put it here	擠喺呢度喇
First get a dipperful of water	攞一殼水先
Get some firewood to make a fire	攞啲柴透火
Put down your pen first	放低枝筆先
Cook up a few dishes of food	整番幾味餸
Mandarin Coffee Shop, or Mandarin Coffee House	文華咖啡廊
Japanese cars save on gas	日本車慳油
It's a piece of cake, or It's as easy as falling off a log	易過食生菜
Miss Photogenic	最上鏡小姐
It's best to buy genuine goods	最好買正貨
There are three pieces of cake	有三件蛋糕
What news do you have?	有乜聲氣？
Someone is crying out for help	有人嗌救命
Somebody has arrived	有人嚟咗喇
Someone was hit by a ball	有人食波餅
There are a few gifts	有少少禮物
It will take a long time to finish the meal	有排先食完
Covered sidewalk or covered footpath	有蓋行人徑
There's still a long way to go before graduation	未有耐畢業
Chocolate mousse	朱古力慕士
The bamboo pole has cracked	枝竹㿭咗喇
The bus arrives at the bus stop	架巴士埋站
Cross one's legs, or With one's legs crossed	架起二郎腿
Is this automobile yours?	架車你㗇？
Is this automobile yours?	架車你㗎？
The computer has broken down	架電腦爛咗
The bamboo pole has lots of knots	條竹好多纈
My tongue feels rather numb	條脷痺痺哋
The trousers are a bit too tight	條褲窄咗啲
The credit account has come due	條賒數到期
There is a mud puddle in the road	條路有泥氹
Cotton is fluffy and light in weight	棉花好輕秤
Rock-and-roll singer	樂與怒歌手
Baby corn from Thailand	泰國粟米芯
Pump up some water	泵啲水上嚟
light cream cheese which has fewer calories and less fat than regular cream cheese	淡忌廉芝士
Hong Kong-style sausage roll	港式腸仔包
The boiled water has become cold	滾水凍咗喇
It annoyed me so that I lost my temper and got angry	激到我火起
The waterfall made a loud gurgling sound	瀑布啥啥聲
The train went through a tunnel	火車捐山窿
Dry his shirt with heat	炕乾佢件衫
Sugarfree chewing gum	無糖香口珠
Cook some noodles to eat as a late night snack	煮啲麵宵夜
It's unbearably hot	熱到好辛苦
Rub some ointment on your foot	用藥膏捽腳
A layer of skin has come off	甩咗一浸皮
You think I should give everything to you!	畀晒你喎！
I'm so damned tired!	癐到鬼噉！
That will be thirty dollars, please	盛惠三十蚊
The light is too bright	盞燈光過頭
There's no doubt about it!	直程係啦！
What bad luck!	真攞膽㗎！
It's really fucking troublesome!	真麻𨳊煩！
It's really damn troublesome!	真麻𨶙煩！
The ticket is very reasonably priced	票價好相宜
I got merely passing grades in every subject	科科𢺳車邊
I've been waiting for you the whole day	等咗你成日
Let me go in first	等我入去先
Let me take a look first	等我睩睩先
Let me think it over first	等我諗吓先
It was as small as a grain of rice	細到粒米噉
My dad is an architect	老豆係則師
Fatty pork is difficult to digest	肥豬肉好滯
You're the greatest!	至勁係你！
Dip it in chili sauce	舔啲辣椒醬
Conference pears from Holland	荷蘭長啤梨
Add a small amount of MSG	落些少味精
It's raining very hard	落緊好大雨
Coax the baby by singing to it	藹吓個BB
Apple custard bun	蘋果吉士包
A turnip is a cold food	蘿蔔好寒㗎
Sidewalk network	行人路網絡
Parent-child drawing class	親子繪畫班
Please help me wind the knitting yarn	請幫我繑冷
Please stand at the back of the line	請排喺後便
Please wait a moment	請等一陣間
Please cut my hair a little bit shorter	請飛髮短啲
Prawns in soya sauce	豉油王蝦碌
Cooked wheat noodles with congealed pig's blood	豬紅車仔麵
One may win as well as lose	贏輸冇時定
Lame-duck government	跛腳鴨政府
Follow behind the team captain	跟住隊長尾
The tire is not inflated enough	車呔唔夠衡
Sardines in sunflower oil with chili	辣油沙甸魚
The apartment is filled with people	通屋都係人
There are people everywhere in the streets	通街都係人
Who said so?	邊個話㗎？
Any one of them is okay	邊個都得㗎
Who is prettier?	邊個靚啲？
The currency has become reduced in value	銀紙縮水喇
The room is not bright enough	間屋唔夠光
Grandma knits a sweater	阿婆織冷衫
Mom is partial to you	阿媽𧶄住你
Mr Chan, Justice of the Peace	陳太平紳士
The Chan Clansmen Assoc.	陳氏宗親會
Mr. Chan is not here	陳生唔喺度
The dish dropped and was broken	隻碟跌爛咗
zek3 maa5 haak3 can1 lok3	隻馬嚇親咯
Store it in the fridge and eat it bit by bit	雪住慢慢食
Freeze the pork chops	雪藏啲豬扒
